t=114962, pid=0, os-pid=14307, new=78, totalcount=43, count=1
t=138010, pid=0, os-pid=14307, new=156, totalcount=43, count=2
t=140713, pid=4, os-pid=14311, new=156, totalcount=43, count=2
t=142606, pid=0, os-pid=14307, new=234, totalcount=43, count=3
t=143519, pid=4, os-pid=14311, new=312, totalcount=43, count=4
t=144112, pid=0, os-pid=14307, new=390, totalcount=43, count=5
t=144680, pid=4, os-pid=14311, new=390, totalcount=43, count=5
t=145043, pid=0, os-pid=14307, new=468, totalcount=43, count=6
t=146288, pid=4, os-pid=14311, new=546, totalcount=43, count=7
t=147308, pid=0, os-pid=14307, new=624, totalcount=43, count=8
t=148925, pid=0, os-pid=14307, new=702, totalcount=43, count=9
t=149109, pid=4, os-pid=14311, new=702, totalcount=43, count=9
t=150341, pid=0, os-pid=14307, new=780, totalcount=43, count=10
t=151425, pid=0, os-pid=14307, new=858, totalcount=43, count=11
t=151479, pid=4, os-pid=14311, new=858, totalcount=43, count=11
t=152771, pid=0, os-pid=14307, new=936, totalcount=43, count=12
t=153861, pid=4, os-pid=14311, new=1014, totalcount=43, count=13
t=157470, pid=0, os-pid=14307, new=1092, totalcount=43, count=14
t=160073, pid=4, os-pid=14311, new=1170, totalcount=43, count=15
t=160600, pid=0, os-pid=14307, new=1248, totalcount=43, count=16
t=161677, pid=4, os-pid=14311, new=1326, totalcount=43, count=17
t=162909, pid=0, os-pid=14307, new=1404, totalcount=43, count=18
t=163096, pid=4, os-pid=14311, new=1404, totalcount=43, count=18
t=163985, pid=0, os-pid=14307, new=1482, totalcount=43, count=19
t=164924, pid=4, os-pid=14311, new=1560, totalcount=43, count=20
t=166346, pid=4, os-pid=14311, new=1638, totalcount=43, count=21
t=167180, pid=0, os-pid=14307, new=1716, totalcount=43, count=22
t=168283, pid=4, os-pid=14311, new=1794, totalcount=43, count=23
t=168603, pid=0, os-pid=14307, new=1872, totalcount=43, count=24
t=170480, pid=0, os-pid=14307, new=1950, totalcount=43, count=25
t=172109, pid=0, os-pid=14307, new=2028, totalcount=43, count=26
